date,id,text,username
2021-12-24T01:14:33+00:00,1474186700133908500,"South Korea pardons ex-president Park Geun-hye 

https://t.co/2oF18HKyTR",BBCBreaking
2022-03-08T16:28:08+00:00,1501233315688419300,"UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine

https://t.co/ER7vvOIAG0",BBCBreaking
2022-03-03T02:27:13+00:00,1499209753741901800,"One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues https://t.co/xPs3Z3vVFn",BBCBreaking
2022-03-03T19:10:42+00:00,1499462287668699100,"UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russia's invasion of Ukraine

https://t.co/6kNfucEq6y",BBCBreaking
2022-02-25T16:43:14+00:00,1497250849554411500,"Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion

https://t.co/pZ7uOWtOMU https://t.co/ihqQPcbki5",BBCBreaking
2022-02-18T18:16:24+00:00,1494737579618574300,"Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK

https://t.co/bHiqmlYmr2",BBCBreaking
2022-02-15T09:02:02+00:00,1493510906667544600,Russia says some of its troops are being pulled out from Ukraine border https://t.co/Sl4Lyn9Qwg,BBCBreaking
2022-02-11T07:17:30+00:00,1492035048161296400,UK economy grew by 7.5% last year despite Omicron causing slowdown https://t.co/Tn9PYhzATT,BBCBreaking
2022-02-06T04:40:57+00:00,1490183711945642000,"Indian singing icon Lata Mangeshkar, the “Nightingale of Bollywood”, dies at 92 https://t.co/ZsLtjwWUH1",BBCBreaking
2022-01-29T18:42:40+00:00,1487496431220965400,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik https://t.co/kuw98xKyTV,BBCBreaking
2022-01-24T16:37:56+00:00,1485653104183939000,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms

https://t.co/JlutoZcMTG",BBCBreaking
2022-01-21T09:45:20+00:00,1484462103335477200,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon https://t.co/DeAXmp3uns",BBCBreaking
2022-01-19T07:10:40+00:00,1483698406925254700,"UK cost of living rises by 5.4% in the 12 months to December, its fastest pace for 30 years https://t.co/JsRkkCnmED",BBCBreaking
2022-01-15T09:57:11+00:00,1482290758250111000,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific https://t.co/rKkTYEmP2W,BBCBreaking
2022-01-06T08:29:22+00:00,1479007167835369500,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday https://t.co/GyWv5UxzK4,BBCBreaking
2022-01-05T16:05:35+00:00,1478759594017140700,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says

https://t.co/gEWRtNEPvO",BBCBreaking
2022-01-05T01:02:13+00:00,1478532252967784400,"North Korea launches 'unidentified projectile' into sea

https://t.co/yNtpJxB36l",BBCBreaking
2021-12-31T22:30:11+00:00,1477044439415922700,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an https://t.co/RaSX5xsD8E",BBCBreaking
2021-12-21T13:06:19+00:00,1473278662472605700,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid https://t.co/O3bXvTkzJJ,BBCBreaking
2021-12-20T17:18:34+00:00,1472979755272188000,"UK Prime Minister Boris Johnson “reserves possibility” of further Covid measures in England, but says there are “still some things we need to be clearer about” 

https://t.co/ddWfD2tfsM",BBCBreaking
2021-12-19T20:59:55+00:00,1472673072079683600,Tennis player Emma Raducanu named BBC Sports Personality of the Year 2021 https://t.co/jowZ7Zv16y,BBCBreaking
2021-12-14T14:41:51+00:00,1470765988824113200,"UK government says all 11 countries will be removed from its travel red list from 4am on Wednesday

https://t.co/MbOc6rzJVo",BBCBreaking
2021-12-04T18:16:15+00:00,1467196061970317300,"Travellers heading to UK will now have to have Covid test before their departure in effort to limit spread of virus, government says https://t.co/suZ90Ue2ci",BBCBreaking
2021-12-04T12:15:41+00:00,1467105323622318000,Giant ash cloud sends people sprinting for cover after volcano erupts in Indonesia https://t.co/K5geCqdncL,BBCBreaking
2021-12-01T19:52:04+00:00,1466133013289386000,Women's Tennis Association announces immediate suspension of all tournaments in China over concern for Chinese tennis player Peng Shuai https://t.co/oXwoLjiAfj,BBCBreaking
